date,product_id,product_name,category,quantity,unit_price,total_price,profit,customer_id,payment_method
2024-03-28,2,Product B,Electronics,5,150,750,350,2,Cash
2024-03-28,1,Product A,Electronics,1,200,200,80,44,Digital Wallet
2024-03-28,3,Product C,Clothing,1,60,60,30,50,Credit Card
2024-03-28,7,Product G,Food,2,18,36,16,18,Digital Wallet
2024-03-28,1,Product A,Electronics,5,200,1000,400,16,Cash
2024-03-28,4,Product D,Clothing,4,45,180,80,32,Credit Card
2024-03-28,8,Product H,Food,3,10,30,15,12,Cash
2024-03-28,1,Product A,Electronics,4,200,800,320,19,Digital Wallet
2024-03-28,5,Product E,Home,5,90,450,200,48,Credit Card
2024-03-28,5,Product E,Home,3,90,270,120,25,Cash
2024-03-28,3,Product C,Clothing,5,60,300,150,27,Credit Card
2024-03-28,4,Product D,Clothing,2,45,90,40,41,Cash
2024-03-28,2,Product B,Electronics,4,150,600,280,18,Credit Card
2024-03-28,6,Product F,Home,5,120,600,250,14,Credit Card
2024-03-28,6,Product F,Home,2,120,240,100,47,Cash
2024-03-29,1,Product A,Electronics,3,200,600,240,42,Credit Card
2024-03-29,7,Product G,Food,5,18,90,40,6,Digital Wallet
2024-03-29,2,Product B,Electronics,5,150,750,350,28,Digital Wallet
2024-03-29,7,Product G,Food,5,18,90,40,17,Credit Card
2024-03-29,3,Product C,Clothing,2,60,120,60,29,Digital Wallet
2024-03-29,6,Product F,Home,2,120,240,100,31,Cash
2024-03-29,3,Product C,Clothing,2,60,120,60,23,Credit Card
2024-03-29,1,Product A,Electronics,5,200,1000,400,19,Digital Wallet
2024-03-29,5,Product E,Home,5,90,450,200,30,Digital Wallet
2024-03-29,5,Product E,Home,4,90,360,160,14,Digital Wallet
2024-03-29,5,Product E,Home,5,90,450,200,48,Credit Card
2024-03-30,1,Product A,Electronics,4,200,800,320,5,Digital Wallet
2024-03-30,8,Product H,Food,2,10,20,10,5,Cash
2024-03-30,1,Product A,Electronics,2,200,400,160,6,Cash
2024-03-30,8,Product H,Food,4,10,40,20,10,Digital Wallet
2024-03-30,5,Product E,Home,2,90,180,80,39,Digital Wallet
2024-03-30,4,Product D,Clothing,5,45,225,100,5,Cash
2024-03-30,6,Product F,Home,4,120,480,200,37,Cash
2024-03-30,1,Product A,Electronics,5,200,1000,400,29,Cash
2024-03-30,8,Product H,Food,3,10,30,15,13,Digital Wallet
2024-03-30,8,Product H,Food,2,10,20,10,21,Cash
2024-03-30,1,Product A,Electronics,1,200,200,80,13,Credit Card
2024-03-30,3,Product C,Clothing,2,60,120,60,8,Credit Card
2024-03-30,6,Product F,Home,2,120,240,100,49,Cash
2024-03-30,3,Product C,Clothing,2,60,120,60,25,Credit Card
2024-03-30,1,Product A,Electronics,4,200,800,320,9,Cash
2024-03-31,5,Product E,Home,4,90,360,160,38,Digital Wallet
2024-03-31,3,Product C,Clothing,2,60,120,60,47,Digital Wallet
2024-03-31,1,Product A,Electronics,5,200,1000,400,44,Cash
2024-03-31,6,Product F,Home,3,120,360,150,42,Credit Card
2024-03-31,7,Product G,Food,5,18,90,40,11,Cash
2024-03-31,6,Product F,Home,5,120,600,250,16,Digital Wallet
2024-03-31,8,Product H,Food,2,10,20,10,14,Cash
2024-03-31,8,Product H,Food,4,10,40,20,39,Credit Card
2024-03-31,4,Product D,Clothing,4,45,180,80,34,Cash
2024-03-31,6,Product F,Home,4,120,480,200,5,Digital Wallet
2024-03-31,5,Product E,Home,5,90,450,200,49,Credit Card
2024-03-31,5,Product E,Home,4,90,360,160,40,Cash
2024-03-31,1,Product A,Electronics,4,200,800,320,11,Digital Wallet
2024-03-31,8,Product H,Food,3,10,30,15,29,Digital Wallet
2024-03-31,2,Product B,Electronics,1,150,150,70,11,Cash
2024-03-31,6,Product F,Home,2,120,240,100,26,Digital Wallet
2024-03-31,2,Product B,Electronics,5,150,750,350,41,Credit Card
2024-03-31,4,Product D,Clothing,5,45,225,100,4,Digital Wallet
2024-03-31,6,Product F,Home,1,120,120,50,14,Digital Wallet
2024-04-01,3,Product C,Clothing,1,60,60,30,44,Digital Wallet
2024-04-01,3,Product C,Clothing,4,60,240,120,16,Digital Wallet
2024-04-01,1,Product A,Electronics,2,200,400,160,4,Cash
2024-04-01,1,Product A,Electronics,3,200,600,240,36,Digital Wallet
2024-04-01,2,Product B,Electronics,1,150,150,70,23,Digital Wallet
2024-04-01,6,Product F,Home,1,120,120,50,44,Cash
2024-04-01,1,Product A,Electronics,5,200,1000,400,26,Credit Card
2024-04-01,8,Product H,Food,3,10,30,15,6,Digital Wallet
2024-04-01,3,Product C,Clothing,4,60,240,120,1,Credit Card
2024-04-01,7,Product G,Food,3,18,54,24,6,Cash
2024-04-01,5,Product E,Home,3,90,270,120,39,Digital Wallet
2024-04-01,3,Product C,Clothing,1,60,60,30,21,Credit Card
2024-04-01,1,Product A,Electronics,1,200,200,80,34,Cash
2024-04-01,7,Product G,Food,2,18,36,16,43,Digital Wallet
2024-04-01,4,Product D,Clothing,4,45,180,80,15,Cash
2024-04-01,2,Product B,Electronics,4,150,600,280,39,Cash
2024-04-01,8,Product H,Food,3,10,30,15,28,Cash
2024-04-02,4,Product D,Clothing,3,45,135,60,37,Credit Card
2024-04-02,7,Product G,Food,1,18,18,8,45,Digital Wallet
2024-04-02,2,Product B,Electronics,1,150,150,70,38,Digital Wallet
2024-04-02,5,Product E,Home,2,90,180,80,11,Cash
2024-04-02,3,Product C,Clothing,2,60,120,60,1,Credit Card
2024-04-02,5,Product E,Home,2,90,180,80,5,Digital Wallet
2024-04-02,5,Product E,Home,4,90,360,160,36,Credit Card
2024-04-02,8,Product H,Food,2,10,20,10,15,Digital Wallet
2024-04-02,3,Product C,Clothing,1,60,60,30,21,Cash
2024-04-02,2,Product B,Electronics,3,150,450,210,50,Cash
2024-04-02,6,Product F,Home,4,120,480,200,26,Credit Card
2024-04-02,7,Product G,Food,5,18,90,40,12,Cash
2024-04-02,1,Product A,Electronics,2,200,400,160,37,Credit Card
2024-04-02,2,Product B,Electronics,3,150,450,210,17,Credit Card
2024-04-02,6,Product F,Home,4,120,480,200,20,Cash
2024-04-02,1,Product A,Electronics,1,200,200,80,23,Cash
2024-04-02,6,Product F,Home,3,120,360,150,10,Credit Card
2024-04-02,2,Product B,Electronics,5,150,750,350,6,Cash
2024-04-02,1,Product A,Electronics,5,200,1000,400,34,Credit Card
2024-04-02,2,Product B,Electronics,5,150,750,350,3,Cash
2024-04-02,5,Product E,Home,4,90,360,160,30,Cash
2024-04-02,7,Product G,Food,5,18,90,40,37,Cash
2024-04-02,7,Product G,Food,3,18,54,24,36,Credit Card
2024-04-03,6,Product F,Home,4,120,480,200,8,Cash
2024-04-03,2,Product B,Electronics,5,150,750,350,44,Credit Card
2024-04-03,3,Product C,Clothing,2,60,120,60,27,Digital Wallet
2024-04-03,6,Product F,Home,4,120,480,200,49,Cash
2024-04-03,4,Product D,Clothing,1,45,45,20,15,Cash
2024-04-03,6,Product F,Home,5,120,600,250,20,Credit Card
2024-04-03,2,Product B,Electronics,4,150,600,280,45,Cash
2024-04-03,3,Product C,Clothing,5,60,300,150,18,Cash
2024-04-03,2,Product B,Electronics,2,150,300,140,1,Digital Wallet
2024-04-03,1,Product A,Electronics,4,200,800,320,45,Cash
2024-04-03,3,Product C,Clothing,3,60,180,90,8,Credit Card
2024-04-03,4,Product D,Clothing,2,45,90,40,32,Digital Wallet
2024-04-03,4,Product D,Clothing,3,45,135,60,14,Cash
2024-04-04,8,Product H,Food,4,10,40,20,35,Credit Card
2024-04-04,2,Product B,Electronics,4,150,600,280,32,Credit Card
2024-04-04,6,Product F,Home,2,120,240,100,24,Credit Card
2024-04-04,6,Product F,Home,4,120,480,200,37,Digital Wallet
2024-04-04,5,Product E,Home,5,90,450,200,44,Digital Wallet
2024-04-04,7,Product G,Food,2,18,36,16,6,Cash
2024-04-04,3,Product C,Clothing,1,60,60,30,35,Digital Wallet
2024-04-04,3,Product C,Clothing,3,60,180,90,2,Credit Card
2024-04-04,6,Product F,Home,4,120,480,200,35,Cash
2024-04-05,3,Product C,Clothing,3,60,180,90,6,Cash
2024-04-05,6,Product F,Home,4,120,480,200,16,Cash
2024-04-05,4,Product D,Clothing,1,45,45,20,2,Cash
2024-04-05,7,Product G,Food,3,18,54,24,44,Credit Card
2024-04-05,1,Product A,Electronics,5,200,1000,400,23,Cash
2024-04-05,8,Product H,Food,5,10,50,25,46,Credit Card
2024-04-05,4,Product D,Clothing,2,45,90,40,37,Credit Card
2024-04-05,7,Product G,Food,5,18,90,40,34,Credit Card
2024-04-05,4,Product D,Clothing,4,45,180,80,10,Credit Card
2024-04-05,5,Product E,Home,3,90,270,120,18,Credit Card
2024-04-05,3,Product C,Clothing,3,60,180,90,20,Cash
2024-04-05,8,Product H,Food,5,10,50,25,37,Cash
2024-04-05,5,Product E,Home,5,90,450,200,14,Digital Wallet
2024-04-05,2,Product B,Electronics,2,150,300,140,46,Digital Wallet
2024-04-05,2,Product B,Electronics,5,150,750,350,36,Digital Wallet
2024-04-05,3,Product C,Clothing,1,60,60,30,4,Digital Wallet
2024-04-05,3,Product C,Clothing,1,60,60,30,9,Digital Wallet
2024-04-05,1,Product A,Electronics,5,200,1000,400,10,Digital Wallet
2024-04-05,7,Product G,Food,1,18,18,8,49,Cash
2024-04-05,6,Product F,Home,1,120,120,50,33,Cash
2024-04-05,5,Product E,Home,1,90,90,40,18,Credit Card
2024-04-05,7,Product G,Food,5,18,90,40,4,Credit Card
2024-04-05,5,Product E,Home,3,90,270,120,48,Cash
2024-04-05,6,Product F,Home,1,120,120,50,22,Cash
2024-04-05,1,Product A,Electronics,4,200,800,320,46,Cash
